Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
-7			1,0
-6			0,9999999999965125
-5			0,9999999994423
-4			0,9999999614352767
-3			0,9999984974761874
-2			0,9999640219717466
-1			0,9994589101819921
0	1,0	0,9999999999999999	0,9949899369733597
1	0,999999999957751	0,9999999963520025	0,9729405865278059
2	0,9999999986564809	0,999999881104764	0,9177560830240117
3	0,9999999781980609	0,9999981085383918	0,8184290196527508
4	0,9999997630363313	0,9999805835087692	0,6804781109801987
5	0,9999980777043528	0,9998563371759923	0,5223913386237953
6	0,9999876734933117	0,9991880503625136	0,3687366479948911
7	0,9999352859667937	0,9963709323524241	0,2388108628923542
8	0,9997152480192231	0,9868822593100176	0,14193710274291682
9	0,9989322864710538	0,961061841414474	0,07745005459003187
10	0,9965458762212638	0,9039941686767756	0,03884326233367264
11	0,9902650278321243	0,8014256447774761	0,01791645704283718
12	0,9759034095573335	0,6517297388930786	0,007605751351760582
13	0,9472366988309386	0,4746932827524143	0,002971542204244191
14	0,8970861621809629	0,304954847716339	0,0010683104249259341
15	0,8199146107341686	0,17200362453905457	0,0003530487434442182
16	0,7150985410313742	0,08541080057509469	0,00010710369699306631
17	0,5890033397203153	0,03748620121979145	2,975349209965493e-05
18	0,45417284921515616	0,014634482244652093	7,546661774308097e-06
19	0,3255896880994805	0,005104100972361962	1,7397701380894485e-06
20	0,21586896233439296	0,001598608894878089	3,626089679725446e-07
21	0,13185195462522073	0,0004509286367771281	6,778723697148515e-08
22	0,0739747671759123	0,00011493155072199103	1,1259983634956708e-08
23	0,03803380434679634	2,6504463408107876e-05	1,6376806365163322e-09
24	0,017884210907592415	5,538884480526402e-06	2,0486843516611022e-10
25	0,0076760976760077565	1,0488879222667462e-06	2,13506734985942e-11
26	0,0030011384657035573	1,8000109261318093e-07	1,7791887548618198e-12
27	0,0010663163879739692	2,795842214773992e-08	1,0695535304906001e-13
28	0,00034334511186765365	3,925755343717306e-09	3,941843478466585e-15
29	9,98520215936168e-05	4,971451662703432e-10	
30	2,612023446075027e-05	5,664615522026488e-11	
31	6,115036494150082e-06	5,78732990051485e-12	
32	1,2732743364299508e-06	5,282410022423161e-13	
33	2,3399172000888457e-07	4,285881469910064e-14	
34	3,7588597042238906e-08	3,0735798820268146e-15	
35	5,214401808064569e-09	1,932639441412409e-16	
36	6,149511100860409e-10	1,055243330427618e-17	
37	6,039077308325737e-11	4,93096041390728e-19	
38	4,800148933422431e-12	1,9352135949261307e-20	
39	2,9634925352012447e-13	6,180883557432776e-22	
40	1,3316465165027063e-14	1,5354277105571482e-23	
41	3,869322802197346e-16	2,6828770703660715e-25	
42	5,4497504256300646e-18	2,7099768387536076e-27	
