Label	Average Damage	Average after PDIC	Average Saved
Maarek Stele	1,9375	1,6875	0,25
Darth Vader (TIE Defender)	2,0625	1,66973876953125	0,39276123046875
Moralo #1	1,0	0,625	0,375
Moralo #2	1,0	0,625	0,375
Moralo #3	1,0	0,625	0,375
Moralo #4	1,0	0,625	0,375
Moralo #5	1,0	0,625	0,375
Moralo #6	1,0	0,625	0,375
Moralo #7	1,0	0,625	0,375
Black Squadron	0,5	0,25	0,25
TIE Advanced	0,75	0,5625	0,1875
Lambda #1	0,5	0,25	0,25
Lambda #2	0,5	0,25	0,25
Lambda #3	0,5	0,25	0,25
TOTAL	13,75	9,29473876953125	4,45526123046875
